,Global_active_power,Global_reactive_power,Voltage,Global_intensity,date,month,year,hour,minute,total_metering
937861,2.626,2.626,239.16,11.0,28,9,2008,0,25,1.0
483638,2.856,2.856,240.87,11.8,17,11,2007,14,2,18.0
1914225,0.296,0.296,242.64,1.4,8,7,2010,1,9,0.0
885822,0.078,0.078,238.5,0.2,22,8,2008,21,6,1.0
322144,0.404,0.404,235.93,1.8,28,7,2007,10,28,1.0
445204,2.072,2.072,239.2,8.6,21,10,2007,21,28,1.0
816897,0.64,0.64,243.02,2.8,7,6,2008,0,21,0.0
1156343,1.198,1.198,240.8,5.0,26,2,2009,17,47,0.0
487059,0.34,0.34,245.39,1.4,19,11,2007,23,3,0.0
1571455,0.404,0.404,243.05,1.8,12,12,2009,0,19,1.0
1659405,0.358,0.358,244.58,1.4,2,11,2010,2,9,1.0
959799,0.248,0.248,242.47,1.0,13,10,2008,6,3,1.0
100729,0.286,0.286,239.17,1.2,24,2,2007,16,13,1.0
681755,0.216,0.216,242.33,0.8,4,3,2008,3,59,0.0
1930552,0.608,0.608,240.7980573828573,2.6,18,8,2010,9,16,1.0
455655,0.396,0.396,243.7,1.8,29,10,2007,3,39,0.0
1548515,0.234,0.234,245.38,0.8,26,11,2009,1,59,1.0
1240374,0.492,0.492,246.15,2.2,26,4,2009,2,18,3.0
553351,0.31,0.31,244.04,1.2,1,4,2008,23,55,0.0
1654240,0.264,0.264,242.33,1.0,2,7,2010,12,4,1.0
829201,0.178,0.178,240.78,0.8,14,7,2008,13,25,0.0
1400146,0.232,0.232,241.57,1.0,15,8,2009,1,10,2.0
1659867,1.588,1.588,242.68,6.6,2,11,2010,9,51,19.0
713931,0.426,0.426,242.48,2.0,25,4,2008,12,15,0.0
306146,1.958,1.958,233.23499999999996,8.4,17,7,2007,7,50,17.0
2058120,0.43,0.43,243.24,1.8,14,11,2010,23,24,0.0
882472,0.15,0.15,239.61,0.8,20,8,2008,13,16,1.0
538512,2.868,2.868,244.28,11.6,25,12,2007,16,36,19.0
1577086,1.786,1.786,247.17,7.2,15,12,2009,22,10,21.0
1667507,0.846,0.846,244.74,3.6,16,2,2010,17,11,1.0
1135001,2.124,2.124,241.24,8.8,2,11,2009,22,5,20.0
1579707,0.69,0.69,246.35,2.8,17,12,2009,17,51,2.0
1305270,0.246,0.246,242.5,1.0,6,10,2009,3,54,0.0
1771731,0.236,0.236,239.93,1.0,30,4,2010,2,15,1.0
487556,2.674,2.674,239.94,11.0,20,11,2007,7,20,17.0
124251,0.316,0.316,242.87,1.4,13,3,2007,0,15,1.0
939334,0.698,0.698,239.07,3.2,29,9,2008,0,58,9.0
1563348,0.71,0.71,244.55,3.0,12,6,2009,9,12,0.0
1724837,1.812,1.812,238.88,8.6,28,3,2010,12,41,10.0
198202,1.208,1.208,233.23499999999996,5.2,5,3,2007,8,46,17.0
272073,0.366,0.366,241.18,2.0,23,6,2007,15,57,1.0
1099809,3.347,3.347,236.16,13.9,18,1,2009,11,33,38.0
1520888,1.904,1.904,235.78,8.0,11,6,2009,21,32,18.0
475072,0.342,0.342,243.15,1.6,11,11,2007,15,16,0.0
1541293,0.324,0.324,244.53,1.4,21,11,2009,1,37,0.0
1362950,0.27,0.27,239.41,1.4,20,7,2009,5,14,2.0
1966547,0.234,0.234,241.34,1.2,9,12,2010,9,11,2.0
1869510,0.868,0.868,242.41,3.6,7,6,2010,23,54,2.0
1629759,1.334,1.334,243.88,5.4,21,1,2010,12,3,19.0
500436,1.322,1.322,243.54,5.4,29,11,2007,6,0,18.0
243605,1.718,1.718,234.21,7.2,6,3,2007,21,29,3.0
676347,1.06,1.06,240.99,6.2,30,3,2008,9,51,0.0
1822660,1.302,1.302,239.85,5.4,6,4,2010,11,4,18.0
1292182,0.136,0.136,240.12,0.6,6,1,2009,1,46,1.0
1747156,1.316,1.316,242.51,5.4,13,4,2010,0,40,19.0
1628522,0.47,0.47,245.14,2.2,20,1,2010,15,26,2.0
1114315,2.062,2.062,243.88,8.4,28,1,2009,13,19,19.0
1290548,1.3,1.3,240.28,5.4,30,5,2009,22,32,1.0
833937,1.662,1.662,239.33,7.0,17,7,2008,20,21,19.0
1653150,2.624,2.624,236.69,11.2,2,6,2010,17,54,20.0
342174,0.378,0.378,233.33,1.8,8,11,2007,8,18,0.0
293950,2.382,2.382,237.88,10.0,7,8,2007,20,34,37.0
483342,1.514,1.514,239.72,6.4,17,11,2007,9,6,17.0
1156459,1.394,1.394,236.52,5.8,26,2,2009,19,43,17.0
44155,0.624,0.624,242.56,3.2,16,1,2007,9,19,2.0
1076130,0.582,0.582,242.74,2.4,1,2,2009,0,54,1.0
1131478,2.688,2.688,237.65,11.2,2,9,2009,11,22,17.0
223473,3.347,3.347,233.23499999999996,13.9,20,5,2007,21,57,33.0
220415,1.14,1.14,234.74,5.8,18,5,2007,18,59,1.0
1559325,0.296,0.296,248.555,1.2,12,3,2009,14,9,0.0
748010,0.226,0.226,240.53,1.0,19,5,2008,4,14,1.0
106148,0.35,0.35,240.73,1.6,28,2,2007,10,32,0.0
948322,0.322,0.322,241.63,1.4,10,5,2008,6,46,1.0
1455627,0.482,0.482,240.31,2.0,22,9,2009,13,51,1.0
1087503,2.482,2.482,243.77,10.2,1,9,2009,22,27,19.0
1760085,0.946,0.946,241.67,3.8,22,4,2010,0,9,1.0
1583488,2.038,2.038,243.11,8.4,20,12,2009,8,52,22.0
1907285,1.28,1.28,239.08,5.2,8,2,2010,5,29,18.0
388935,0.562,0.562,239.93,2.8,9,12,2007,19,39,2.0
123315,3.347,3.347,235.99,13.9,3,12,2007,8,39,45.0
896952,0.168,0.168,239.33,0.8,30,8,2008,14,36,3.0
1492040,2.454,2.454,239.16,10.2,17,10,2009,20,44,19.0
1681986,1.192,1.192,238.38,5.0,26,2,2010,18,30,0.0
1183559,1.424,1.424,241.9,5.8,17,3,2009,15,23,18.0
1676637,0.344,0.344,244.32,1.4,23,2,2010,1,21,1.0
1365409,0.252,0.252,240.84,1.2,21,7,2009,22,13,0.0
1156327,0.362,0.362,241.81,1.6,26,2,2009,17,31,0.0
1117449,2.828,2.828,240.04,11.8,30,1,2009,17,33,18.0
457004,0.206,0.206,242.93,0.8,30,10,2007,2,8,0.0
404579,1.604,1.604,240.14,6.6,23,9,2007,16,23,19.0
85128,0.904,0.904,239.67,3.8,13,2,2007,20,12,0.0
108652,1.36,1.36,238.86,5.6,3,2,2007,4,16,18.0
960866,0.322,0.322,240.25,1.4,13,10,2008,23,50,0.0
295160,1.63,1.63,239.54,6.8,7,9,2007,16,44,17.0
1414789,0.23,0.23,240.73,1.0,25,8,2009,5,13,1.0
1376834,0.24,0.24,242.8,1.0,29,7,2009,20,38,1.0
2068680,2.016,2.016,238.86,8.4,22,11,2010,7,24,18.0
69854,2.602,2.602,240.05,10.8,2,3,2007,5,38,0.0
1688892,0.264,0.264,242.36,1.2,3,3,2010,13,36,0.0
165083,0.398,0.398,241.36,1.8,4,10,2007,8,47,1.0
1849188,0.62,0.62,241.72,2.6,22,6,2010,21,12,1.0
757819,0.442,0.442,244.04,2.0,25,5,2008,23,43,0.0
968201,2.12,2.12,239.48,9.0,19,10,2008,2,5,5.0
398087,0.196,0.196,241.82,0.8,19,9,2007,4,11,1.0
13435,2.418,2.418,241.32,10.0,26,12,2006,1,19,0.0
378520,0.156,0.156,237.93,0.8,9,5,2007,14,4,1.0
742687,0.158,0.158,238.87,0.6,15,5,2008,11,31,1.0
939569,0.416,0.416,239.94,1.8,29,9,2008,4,53,0.0
737387,0.852,0.852,241.95,3.6,5,11,2008,19,11,1.0
1992029,0.488,0.488,241.16,2.0,30,9,2010,1,53,2.0
1521669,0.878,0.878,242.47,4.2,11,7,2009,10,33,9.0
477911,3.108,3.108,242.42,13.2,13,11,2007,14,35,20.0
460687,0.394,0.394,241.14,1.8,11,1,2007,15,31,2.0
260002,1.214,1.214,238.26,5.0,15,6,2007,6,46,17.0
2069362,3.142,3.142,235.59,13.9,22,11,2010,18,46,15.0
1224769,0.428,0.428,242.64,1.8,15,4,2009,6,13,0.0
1445550,0.932,0.932,239.28,4.2,15,9,2009,13,54,12.0
474248,1.716,1.716,241.02,7.2,11,11,2007,1,32,0.0
191014,0.608,0.608,240.7980573828573,2.6,28,4,2007,8,58,1.0
973352,0.936,0.936,238.39,4.2,22,10,2008,15,56,0.0
261756,1.544,1.544,239.17,6.6,16,6,2007,12,0,19.0
1169656,0.368,0.368,244.29,1.6,3,7,2009,23,40,0.0
95357,1.19,1.19,243.83,4.8,20,2,2007,22,41,0.0
1412464,0.412,0.412,242.51,2.4,23,8,2009,14,28,4.0
862007,0.92,0.92,237.8,4.0,8,6,2008,8,11,13.0
1556868,3.146,3.146,240.95,13.0,12,1,2009,21,12,19.0
648307,3.344,3.344,236.71,13.9,3,10,2008,22,31,37.0
564551,3.347,3.347,233.23499999999996,13.9,1,12,2008,18,35,45.0
2041727,0.436,0.436,241.77,2.0,11,3,2010,14,11,0.0
315918,0.208,0.208,235.81,1.0,24,7,2007,2,42,0.0
1596309,0.354,0.354,244.51,1.6,29,12,2009,6,33,2.0
1426588,3.347,3.347,236.8,13.9,9,2,2009,9,52,45.0
1003805,1.66,1.66,239.05,7.0,11,12,2008,19,29,2.0
1658954,1.8,1.8,240.2,7.4,2,10,2010,18,38,1.0
426986,0.224,0.224,242.66,1.0,10,9,2007,5,50,0.0
21178,2.396,2.396,237.91,10.0,31,12,2006,10,22,0.0
316071,0.144,0.144,235.57,0.8,24,7,2007,5,15,0.0
118676,0.228,0.228,242.51,1.0,3,9,2007,3,20,0.0
859294,0.138,0.138,236.96,0.6,8,4,2008,10,58,1.0
1413387,1.882,1.882,239.49,7.8,24,8,2009,5,51,29.0
1539117,1.342,1.342,243.56,5.4,19,11,2009,13,21,18.0
42967,0.552,0.552,242.11,2.8,15,1,2007,13,31,0.0
1334584,0.432,0.432,242.51,1.8,30,6,2009,12,28,1.0
830309,0.492,0.492,239.39,2.2,15,7,2008,7,53,1.0
594572,0.976,0.976,244.45,4.4,2,2,2008,14,56,1.0
66766,0.322,0.322,243.28,1.4,2,1,2007,2,10,0.0
1291954,2.28,2.28,236.58,9.6,31,5,2009,21,58,2.0
1248644,0.682,0.682,240.5,3.0,5,1,2009,20,8,0.0
706174,0.462,0.462,243.61,2.2,20,4,2008,2,58,1.0
587490,0.408,0.408,245.97,1.8,28,1,2008,16,54,2.0
493774,1.478,1.478,242.02,6.0,24,11,2007,14,58,19.0
1124542,1.546,1.546,247.33,6.2,2,4,2009,15,46,20.0
306629,0.292,0.292,234.04,1.4,17,7,2007,15,53,1.0
843300,1.696,1.696,238.23,7.2,24,7,2008,8,24,24.0
166282,0.3,0.3,240.49,1.2,4,11,2007,4,46,2.0
1586857,0.894,0.894,243.01,3.8,22,12,2009,17,1,0.0
1146548,0.39,0.39,243.48,1.6,19,2,2009,22,32,1.0
140620,2.936,2.936,238.94,12.4,24,3,2007,9,4,37.0
19113,0.216,0.216,244.0,1.0,29,12,2006,23,57,0.0
778912,0.41,0.41,242.39,2.0,6,9,2008,15,16,2.0
2029002,0.366,0.366,243.35,1.6,25,10,2010,18,6,0.0
1802053,0.464,0.464,243.02,2.0,21,5,2010,3,37,2.0
1336045,0.496,0.496,243.08,2.2,7,1,2009,12,49,1.0
1039376,2.576,2.576,238.37,11.4,12,7,2008,12,20,26.0
1442180,0.134,0.134,242.17,0.6,13,9,2009,5,44,1.0
1038025,3.347,3.347,235.31,13.9,12,6,2008,13,49,45.0
1782506,0.306,0.306,238.28,1.2,5,7,2010,13,50,1.0
1436992,0.354,0.354,241.29,1.6,9,9,2009,15,16,4.0
2018991,3.347,3.347,235.79,13.9,18,10,2010,19,15,35.0
1283549,0.314,0.314,236.89,1.2,26,5,2009,1,53,1.0
1702187,3.347,3.347,237.29,13.9,3,12,2010,19,11,45.0
417748,2.886,2.886,235.03,12.2,10,2,2007,19,52,17.0
530100,2.498,2.498,236.44,10.6,19,12,2007,20,24,0.0
1564386,0.352,0.352,243.73,1.6,12,7,2009,2,30,1.0
1804965,0.946,0.946,242.62,4.0,23,5,2010,4,9,12.0
333737,1.686,1.686,235.12,7.2,8,5,2007,11,41,17.0
52356,0.322,0.322,241.74,1.4,22,1,2007,2,0,0.0
940137,0.348,0.348,239.22,1.6,29,9,2008,14,21,0.0
798294,0.264,0.264,238.73,1.4,23,6,2008,2,18,2.0
1643019,2.962,2.962,240.84,13.2,30,1,2010,17,3,37.0
692190,1.354,1.354,241.5,5.6,4,10,2008,9,54,19.0
255179,0.704,0.704,242.23,3.2,6,11,2007,22,23,1.0
320956,0.122,0.122,235.3,0.6,27,7,2007,14,40,0.0
453440,1.3,1.3,243.49,5.2,27,10,2007,14,44,18.0
399384,0.28,0.28,240.36,1.4,20,9,2007,1,48,0.0
449186,0.332,0.332,245.55,1.4,24,10,2007,15,50,0.0
699537,3.347,3.347,233.23499999999996,13.9,15,4,2008,12,21,45.0
197989,0.302,0.302,234.9,1.6,5,3,2007,5,13,2.0
1522372,1.956,1.956,241.76,8.0,11,7,2009,22,16,2.0
1719702,0.424,0.424,242.48,1.8,24,3,2010,23,6,1.0
171978,0.314,0.314,241.47,1.4,15,4,2007,3,42,0.0
444931,0.51,0.51,240.44,2.4,21,10,2007,16,55,0.0
1241452,1.714,1.714,243.94,7.0,26,4,2009,20,16,19.0
108502,0.328,0.328,241.78,1.4,3,2,2007,1,46,0.0
1689454,0.262,0.262,240.08,1.0,3,3,2010,22,58,0.0
1606270,0.34,0.34,247.57,1.4,1,5,2010,4,34,2.0
1745503,3.347,3.347,234.45,13.9,4,11,2010,21,7,45.0
1453337,0.33,0.33,242.23,1.4,20,9,2009,23,41,1.0
1621535,1.904,1.904,239.64,8.0,15,1,2010,18,59,1.0
94798,3.347,3.347,237.72,13.9,20,2,2007,13,22,45.0
1439664,1.372,1.372,241.0,5.6,9,11,2009,11,48,19.0
917000,0.364,0.364,242.08,1.6,13,9,2008,12,44,2.0
89055,0.41,0.41,240.69,2.0,16,2,2007,13,39,1.0
185421,1.366,1.366,233.23499999999996,5.8,24,4,2007,11,45,17.0
81006,1.46,1.46,242.33,7.6,2,10,2007,23,30,0.0
370115,0.212,0.212,241.08,1.0,30,8,2007,17,59,0.0
1342226,1.808,1.808,243.78,7.8,7,5,2009,19,50,21.0
477972,3.347,3.347,236.96,13.9,13,11,2007,15,36,45.0
65594,0.318,0.318,242.39,1.4,31,1,2007,6,38,0.0
26255,1.938,1.938,245.0,7.8,1,3,2007,22,59,18.0
1402252,0.842,0.842,238.5,3.8,16,8,2009,12,16,2.0
1290819,0.322,0.322,242.54,1.6,31,5,2009,3,3,2.0
1883008,1.208,1.208,238.38,5.0,16,7,2010,8,52,18.0
485753,0.338,0.338,246.3,1.4,19,11,2007,1,17,0.0
1503487,2.646,2.646,235.47,11.2,25,10,2009,19,31,17.0
1008162,3.347,3.347,236.3,13.9,15,11,2008,20,6,17.0
1499670,0.414,0.414,243.14,1.8,23,10,2009,3,54,3.0
1281066,0.336,0.336,238.71,1.4,24,5,2009,8,30,1.0
937700,3.154,3.154,238.21,13.4,27,9,2008,21,44,18.0
798245,0.136,0.136,239.15,0.6,23,6,2008,1,29,1.0
717710,0.344,0.344,241.31,1.4,28,4,2008,3,14,0.0
2054322,2.268,2.268,240.32,9.4,11,12,2010,8,6,19.0
1233988,0.3,0.3,243.06,1.2,21,4,2009,15,52,1.0
1319529,0.494,0.494,242.53,2.0,20,6,2009,1,33,0.0
1665542,1.34,1.34,243.84,5.4,15,2,2010,8,26,19.0
1237301,0.448,0.448,243.73,1.8,23,4,2009,23,5,1.0
498860,0.306,0.306,246.59,1.2,28,11,2007,3,44,0.0
796739,1.664,1.664,238.57,7.0,22,6,2008,0,23,2.0
21133,2.9,2.9,240.9,12.0,31,12,2006,9,37,0.0
1580496,1.95,1.95,242.43,8.0,18,12,2009,7,0,19.0
841927,1.658,1.658,237.75,7.0,23,7,2008,9,31,20.0
103747,0.294,0.294,242.2,1.2,26,2,2007,18,31,0.0
1110512,0.872,0.872,236.64,3.8,25,1,2009,21,56,1.0
621284,0.326,0.326,244.16,1.4,21,2,2008,4,8,0.0
12793,1.004,1.004,247.39,4.0,25,12,2006,14,37,0.0
84058,0.22,0.22,243.51,1.0,13,2,2007,2,22,0.0
388848,0.23,0.23,241.88,1.0,9,12,2007,18,12,0.0
58831,1.664,1.664,243.35,6.8,26,1,2007,13,55,18.0
1099907,1.678,1.678,242.75,7.0,18,1,2009,13,11,20.0
497271,0.228,0.228,246.25,1.0,27,11,2007,1,15,0.0
247386,0.498,0.498,235.39,2.4,6,6,2007,12,30,2.0
485559,1.65,1.65,240.16,6.8,18,11,2007,22,3,0.0
2947,1.688,1.688,236.4,7.0,18,12,2006,18,31,17.0
265714,0.262,0.262,239.65,1.4,19,6,2007,5,58,1.0
1347825,1.348,1.348,239.99,5.6,7,9,2009,17,9,19.0
2030361,0.288,0.288,248.555,1.2,26,10,2010,16,45,1.0
1476089,0.328,0.328,243.08,1.4,10,6,2009,18,53,1.0
1499145,1.38,1.38,236.51,5.8,22,10,2009,19,9,0.0
1688615,1.418,1.418,240.0,5.8,3,3,2010,8,59,19.0
590477,2.068,2.068,236.57,8.8,30,1,2008,18,41,0.0
302030,1.268,1.268,240.36,5.2,14,7,2007,11,14,19.0
801499,1.46,1.46,236.64,6.4,25,6,2008,7,43,17.0
1935022,0.608,0.608,240.7980573828573,2.6,21,8,2010,11,46,1.0
662715,0.636,0.636,243.93,2.6,20,3,2008,22,39,0.0
1011148,1.044,1.044,241.27,4.4,17,11,2008,21,52,0.0
1006414,0.268,0.268,243.79,1.2,14,11,2008,14,58,0.0
827124,0.192,0.192,241.04,1.0,13,7,2008,2,48,1.0
1601722,1.622,1.622,246.09,6.8,1,2,2010,0,46,21.0
718430,0.42,0.42,241.47,2.0,28,4,2008,15,14,2.0
249811,0.252,0.252,235.62,1.0,6,8,2007,4,55,0.0
1336947,0.286,0.286,241.63,1.2,7,2,2009,3,51,1.0
1454195,0.32,0.32,238.58,1.4,21,9,2009,13,59,1.0
1101138,1.372,1.372,242.26,5.6,19,1,2009,9,42,18.0
610321,0.294,0.294,242.27,1.2,13,2,2008,13,25,0.0
509993,3.176,3.176,238.08,13.4,12,5,2007,21,17,18.0
906870,1.114,1.114,238.27,4.8,9,6,2008,11,54,4.0
1945106,1.248,1.248,241.1,5.2,28,8,2010,11,50,19.0
776791,0.16,0.16,243.68,0.6,6,8,2008,3,55,1.0
50357,2.36,2.36,237.8,10.0,20,1,2007,16,41,18.0
76104,1.688,1.688,242.9,7.0,2,7,2007,13,48,19.0
1037005,1.342,1.342,242.03,5.6,12,5,2008,20,49,1.0
1267146,0.474,0.474,240.38,2.4,14,5,2009,16,30,2.0
943089,0.24,0.24,243.89,1.0,10,1,2008,15,33,0.0
1747625,1.85,1.85,240.7,7.6,13,4,2010,8,29,20.0
925056,0.258,0.258,240.88,1.2,19,9,2008,3,0,1.0
1831267,1.376,1.376,240.94,5.6,6,10,2010,10,31,19.0
673384,3.347,3.347,235.77,13.9,28,3,2008,8,28,45.0
1922538,0.174,0.174,241.56,0.8,8,12,2010,19,42,1.0
2008241,2.522,2.522,238.02,10.6,10,11,2010,8,5,20.0
175044,3.347,3.347,233.27,13.9,17,4,2007,6,48,0.0
651842,1.418,1.418,241.74,5.8,13,3,2008,9,26,18.0
1013725,1.232,1.232,237.85,5.2,19,11,2008,16,49,0.0
1969411,1.522,1.522,240.3,6.4,14,9,2010,8,55,20.0
1804334,0.728,0.728,236.63,3.0,22,5,2010,17,38,1.0
1628240,1.67,1.67,241.86,6.8,20,1,2010,10,44,18.0
605389,0.338,0.338,245.69,1.4,2,10,2008,3,13,0.0
1901449,0.25,0.25,241.25,1.2,29,7,2010,4,13,1.0
401745,0.184,0.184,240.38,0.8,21,9,2007,17,9,0.0
201715,1.508,1.508,235.57,6.4,5,5,2007,19,19,17.0
1548082,2.146,2.146,237.71,9.2,25,11,2009,18,46,1.0
1810597,0.25,0.25,240.11,1.2,27,5,2010,2,1,1.0
1485021,0.222,0.222,243.19,0.8,10,12,2009,23,45,1.0
163155,0.218,0.218,241.87,1.0,4,9,2007,0,39,0.0
232440,0.318,0.318,236.59,1.4,27,5,2007,3,24,0.0
1462291,0.23,0.23,244.07,1.0,27,9,2009,4,55,1.0
1844633,1.508,1.508,241.86,6.2,19,6,2010,17,17,19.0
290542,0.126,0.126,239.35,0.6,7,6,2007,11,46,0.0
1575500,2.276,2.276,246.22,9.2,14,12,2009,19,44,19.0
69990,2.504,2.504,240.64,10.4,2,3,2007,7,54,1.0
315893,1.198,1.198,234.21,5.0,24,7,2007,2,17,17.0
1238202,0.418,0.418,242.28,1.8,24,4,2009,14,6,0.0
396804,3.347,3.347,237.22,13.9,18,9,2007,6,48,17.0
1048801,0.268,0.268,243.08,1.2,14,12,2008,1,25,0.0
1791630,3.347,3.347,240.31,13.9,13,5,2010,21,54,45.0
787949,2.168,2.168,238.21,9.4,15,6,2008,21,53,23.0
178634,0.54,0.54,241.94,2.2,19,4,2007,18,38,0.0
1741999,1.37,1.37,241.03,5.6,4,9,2010,10,43,21.0
1480623,0.416,0.416,243.45,1.8,10,9,2009,22,27,0.0
192882,0.608,0.608,240.7980573828573,2.6,29,4,2007,16,6,1.0
1216588,0.578,0.578,241.15,2.4,4,9,2009,13,52,2.0
2067768,0.394,0.394,240.84,1.8,21,11,2010,16,12,1.0
483586,2.036,2.036,240.37,8.4,17,11,2007,13,10,17.0
2036355,2.546,2.546,244.7,10.6,30,10,2010,20,39,19.0
918230,0.364,0.364,238.49,1.6,14,9,2008,9,14,1.0
851842,0.456,0.456,239.75,2.2,30,7,2008,6,46,2.0
1131564,2.08,2.08,237.09,8.8,2,9,2009,12,48,21.0
1746467,1.372,1.372,239.36,5.6,4,12,2010,13,11,20.0
1664319,1.368,1.368,244.09,5.6,14,2,2010,12,3,19.0
362032,0.226,0.226,242.24,1.2,25,8,2007,3,16,0.0
1572505,3.347,3.347,237.31,13.9,12,12,2009,17,49,45.0
140544,1.49,1.49,236.25,6.2,24,3,2007,7,48,17.0
1720107,1.424,1.424,241.34,5.8,25,3,2010,5,51,19.0
2034964,1.39,1.39,242.24,5.8,29,10,2010,21,28,2.0
1294074,1.436,1.436,239.46,6.0,6,2,2009,9,18,19.0
720102,1.52,1.52,242.05,6.2,29,4,2008,19,6,19.0
271700,0.196,0.196,239.62,0.8,23,6,2007,9,44,0.0
1196380,0.218,0.218,244.22,0.8,26,3,2009,13,4,0.0
1027019,1.322,1.322,244.32,5.4,28,11,2008,22,23,0.0
1022395,0.41,0.41,239.52,1.8,25,11,2008,17,19,0.0
1910510,0.34,0.34,241.6,1.6,8,4,2010,11,14,1.0
1914571,0.156,0.156,241.37,0.6,8,7,2010,6,55,1.0
816269,3.347,3.347,237.15,13.9,7,5,2008,13,53,45.0
66527,3.048,3.048,239.84,12.6,31,1,2007,22,11,18.0
940770,0.348,0.348,241.88,1.4,30,9,2008,0,54,1.0
867876,0.184,0.184,238.86,0.8,8,10,2008,10,0,0.0
1722452,2.38,2.38,240.9,9.8,26,3,2010,20,56,18.0
1228810,0.44,0.44,243.52,2.0,18,4,2009,1,34,3.0
500139,0.222,0.222,245.39,1.0,29,11,2007,1,3,0.0
1220901,0.452,0.452,244.82,2.0,4,12,2009,13,45,1.0
762637,1.488,1.488,233.23499999999996,6.6,29,5,2008,8,1,19.0
467356,0.226,0.226,240.62,1.0,11,6,2007,6,40,0.0
1560918,1.388,1.388,244.23,5.6,12,4,2009,16,42,19.0
315231,0.338,0.338,236.05,1.6,23,7,2007,15,15,0.0
1554096,0.864,0.864,241.98,4.0,29,11,2009,23,0,9.0
611026,0.248,0.248,242.57,1.0,14,2,2008,1,10,0.0
1563001,0.274,0.274,243.83,1.0,12,6,2009,3,25,0.0
545599,3.254,3.254,241.7,13.6,30,12,2007,14,43,42.0
968562,0.372,0.372,244.16,1.6,19,10,2008,8,6,1.0
1383079,0.21,0.21,243.39,1.0,8,3,2009,4,43,0.0
1992505,1.334,1.334,240.3,5.4,30,9,2010,9,49,19.0
1672740,1.602,1.602,240.09,6.6,20,2,2010,8,24,19.0
713884,0.408,0.408,244.58,1.8,25,4,2008,11,28,2.0
707766,1.47,1.47,239.35,6.0,21,4,2008,5,30,20.0
1437425,3.347,3.347,239.98,13.9,9,9,2009,22,29,45.0
745797,0.428,0.428,242.03,2.0,17,5,2008,15,21,2.0
1748457,0.852,0.852,241.45,3.6,13,4,2010,22,21,2.0
1444118,0.788,0.788,241.23,3.6,14,9,2009,14,2,2.0
1685059,0.272,0.272,241.13,1.2,28,2,2010,21,43,1.0
254430,1.156,1.156,238.08,4.8,6,11,2007,9,54,18.0
